Country,Murders,Ethnic Fraction,GDP PPP,IQ,Crime,Safety
Albania,4,0.097,11900.00,90,45.97,54.03
Algeria,1.5,0.32,14400.00,83,49.24,50.76
Angola,10.8,0.756,7600.00,68,64.64,35.36
Argentina,7.6,0.255,22400.00,70,63.1,36.9
Armenia,1.8,0.134,8400.00,94,29.02,70.98
Australia,1,0.149,65400.00,98,42,58
Austria,0.5,0.126,47500.00,100,21.67,78.33
Azerbaijan,2.5,0.188,18700.00,87,30.79,69.21
Bahrain,0.5,0.551,51200.00,83,35.3,64.7
Bangladesh,2.8,0.223,3600.00,82,67.43,32.57
Belarus,3.6,0.372,17800.00,97,27.25,72.75
Belgium,1.8,0.567,44100.00,99,44.87,55.13
Bolivia,12.1,0.743,6500.00,87,59.58,40.42
Bosnia and Herzegovina,1.3,0.681,10200.00,90,41.43,58.57
Brazil,24.6,0.549,15800.00,87,70.64,29.36
Bulgaria,1.6,0.299,18400.00,93,41.95,58.05
Cambodia,6.5,0.186,3500.00,91,52.72,47.28
Canada,1.4,0.596,45900.00,99,39.53,60.47
Chile,3.6,0.497,23800.00,90,47.99,52.01
China,0.8,0.154,14300.00,105,31.51,68.49
Colombia,27.9,0.656,14000.00,84,50.7,49.3
Costa Rica,10,0.238,15500.00,89,56.76,43.24
Croatia,0.8,0.375,21300.00,90,28.72,71.28
Cyprus,1.1,0.359,31100.00,91,30.14,69.86
Czech Republic,0.7,0.322,31500.00,98,31.33,68.67
Denmark,1,0.128,45800.00,98,23.54,76.46
Dominican Republic,17.4,0.655,14900.00,82,66.03,33.97
Egypt,3.4,0.164,11500.00,81,56.46,43.54
El Salvador,64.2,0.198,8300.00,80,71.5,28.5
Estonia,3.1,0.511,28700.00,99,25.93,74.07
Ethiopia,8.1,0.76,1700.00,69,48.35,51.65
Finland,1.6,0.132,41200.00,99,26.5,73.5
France,1.2,0.272,41400.00,98,43.39,56.61
Georgia,2.7,0.49,9500.00,94,19.26,80.74
Germany,0.9,0.095,47400.00,99,32.7,67.3
Ghana,1.7,0.846,4300.00,73,47.24,52.76
Greece,1.1,0.059,25200.00,92,39.4,60.6
Guatemala,31.2,0.493,7900.00,79,59.97,40.03
Honduras,84.6,0.185,5000.00,81,79.45,20.55
Hungary,1.5,0.186,26000.00,98,40.76,59.24
India,3.2,0.811,6200.00,82,44.81,55.19
Indonesia,0.5,0.766,11300.00,87,49.51,50.49
Iran,3.9,0.669,17800.00,84,51.88,48.12
Iraq,8,0.549,15500.00,87,55.76,44.24
Ireland,1.1,0.171,54300.00,92,46.38,53.62
Israel,1.7,0.526,34300.00,95,31.35,68.65
Italy,0.8,0.04,35800.00,102,44.97,55.03
Jamaica,36.1,0.166,8800.00,71,65.73,34.27
Japan,0.3,0.012,38200.00,105,19.98,80.02
Jordan,2,0.509,12400.00,84,44.04,55.96
Kazakhstan,7.8,0.664,24700.00,94,47.23,52.77
Kenya,5.9,0.852,3300.00,80,65.96,34.04
Kuwait,0.4,0.708,72200.00,86,34.27,65.73
Latvia,3.9,0.585,24500.00,98,36.66,63.34
Lebanon,4.3,0.78,18600.00,82,49.18,50.82
Libya,2.5,0.151,15100.00,83,56.47,43.53
Lithuania,5.5,0.338,28000.00,91,41.58,58.42
Malaysia,2.3,0.596,26600.00,92,65.56,34.44
Mauritius,2.7,0.632,19500.00,89,55.06,44.94
Mexico,15.7,0.542,18500.00,88,50.37,49.63
Moldova,3.2,0.51,5000.00,96,47.33,52.67
Morocco,1,0.479,8300.00,84,46.92,53.08
Nepal,2.9,0.677,2500.00,74,40.89,59.11
Netherlands,0.7,0.077,49300.00,100,30.9,69.1
New Zealand,0.9,0.363,36400.00,99,37.79,62.21
Nigeria,10.3,0.805,6400.00,84,72.97,27.03
Norway,0.6,0.098,68400.00,100,39.37,60.63
Oman,1.1,0.439,46200.00,83,25.85,74.15
Pakistan,7.7,0.532,4900.00,84,56.39,43.61
Panama,17.2,0.507,20900.00,84,52.22,47.78
Peru,6.7,0.638,12300.00,85,63.8,36.2
Philippines,9.9,0.161,7500.00,86,38.99,61.01
Poland,0.7,0.047,26400.00,99,32.62,67.38
Portugal,0.9,0.04,27800.00,95,34.55,65.45
Romania,1.5,0.3,22100.00,94,30.53,69.47
Russia,9.5,0.333,23700.00,97,47.36,52.64
Saudi Arabia,0.8,0.553,55400.00,84,25.52,74.48
Singapore,0.3,0.388,85700.00,108,16.49,83.51
Slovakia,1.1,0.332,29500.00,96,31.23,68.77
Slovenia,0.7,0.231,30900.00,96,24.83,75.17
Somalia,5.6,0.812,400.00,68,61.7,38.3
South Africa,33,0.88,13400.00,77,77.49,22.51
South Korea,0.7,0.004,36700.00,106,14.99,85.01
Spain,0.7,0.502,35200.00,98,32.12,67.88
Sri Lanka,3.4,0.428,11200.00,79,45.79,54.21
